epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
42,14599,0.6564884185791016,,,,,,,,,,,
42,14649,0.6880622506141663,,,,,,,,,,,
42,14699,0.6532698273658752,,,,,,,,,,,
42,14749,0.6696193218231201,,,,,,,,,,,
42,14799,0.7995983362197876,,,,,,,,,,,
42,14834,,0.885875403881073,0.9262201189994812,0.8466233015060425,0.600906252861023,0.45520806312561035,0.9127408862113953,0.30350372195243835,1.429004430770874,0.9375807046890259,0.5509117245674133,1.1954097747802734
43,14849,0.7083183526992798,,,,,,,,,,,
43,14899,0.7071459293365479,,,,,,,,,,,
43,14949,0.6971601247787476,,,,,,,,,,,
43,14999,0.6543886661529541,,,,,,,,,,,
43,15049,0.6837539672851562,,,,,,,,,,,
43,15099,0.668619692325592,,,,,,,,,,,
43,15149,0.6760057210922241,,,,,,,,,,,
43,15179,,0.8889634609222412,0.9275801181793213,0.8442829847335815,0.6042162775993347,0.4546593427658081,0.9515847563743591,0.3196460008621216,1.450053334236145,0.9567055106163025,0.5653724074363708,1.2041816711425781
44,15199,0.704758882522583,,,,,,,,,,,
44,15249,0.6712691187858582,,,,,,,,,,,
44,15299,0.6723498702049255,,,,,,,,,,,
44,15349,0.689767062664032,,,,,,,,,,,
44,15399,0.6492558717727661,,,,,,,,,,,
44,15449,0.6412578821182251,,,,,,,,,,,
44,15499,0.699032187461853,,,,,,,,,,,
44,15524,,0.8856069445610046,0.9274490475654602,0.8376516103744507,0.6007384657859802,0.4482288360595703,0.9144791960716248,0.29426950216293335,1.4126650094985962,0.9284321069717407,0.5424661040306091,1.1885558366775513
45,15549,0.6403878331184387,,,,,,,,,,,
45,15599,0.6994682550430298,,,,,,,,,,,
45,15649,0.6182577610015869,,,,,,,,,,,
45,15699,0.7149697542190552,,,,,,,,,,,
45,15749,0.7232837080955505,,,,,,,,,,,
45,15799,0.6766689419746399,,,,,,,,,,,
45,15849,0.6540111303329468,,,,,,,,,,,
45,15869,,0.8827425241470337,0.9249526262283325,0.8442287445068359,0.6018882393836975,0.4560454487800598,0.9329102635383606,0.3000553846359253,1.4209089279174805,0.9340390563011169,0.5477731227874756,1.1920188665390015
46,15899,0.6306858062744141,,,,,,,,,,,
46,15949,0.6165463924407959,,,,,,,,,,,
46,15999,0.6333412528038025,,,,,,,,,,,
46,16049,0.7874292731285095,,,,,,,,,,,
46,16099,0.6940119862556458,,,,,,,,,,,
46,16149,0.6848025321960449,,,,,,,,,,,
46,16199,0.6670587062835693,,,,,,,,,,,
46,16214,,0.8826083540916443,0.9273123741149902,0.8472887277603149,0.5975911617279053,0.4604393243789673,0.8891196846961975,0.31884869933128357,1.3426867723464966,0.8921825885772705,0.5646668672561646,1.1587436199188232
47,16249,0.6705370545387268,,,,,,,,,,,
